ano,id_municipio,sigla_uf,indice_atendimento_urbano_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,extensao_rede_agua
2016,3115300,MG,89.1,57.15,0.0,33.4,215.34
2016,3122405,MG,91.3,94.31,0.0,25.14,29.07
2016,3124500,MG,98.3,73.77,0.0,20.17,23.12
2016,3129301,MG,91.3,100.0,0.0,31.79,22.25
2016,3138609,MG,99.5,100.0,0.0,56.76,100.0
2016,3155603,MG,86.2,22.73,100.0,25.76,41.21
2016,3163300,MG,94.3,96.47,0.0,22.83,10.04
2016,3165560,MG,94.7,85.23,0.0,45.87,3.5
2016,3168101,MG,91.4,100.0,0.0,26.24,15.22
2016,5105101,MT,100.0,49.64,100.0,21.58,156.85
2016,2513109,PB,77.9,100.0,0.2,57.08,10.13
2016,2611101,PE,100.0,67.81,100.0,39.97,734.35
2016,2615300,PE,100.0,100.0,0.0,55.45,121.47
2016,3305505,RJ,97.3,55.94,100.0,34.16,424.0
2016,4307807,RS,96.9,15.28,38.1,37.67,119.61
2016,4308607,RS,100.0,41.02,100.0,29.65,138.86
2016,4312609,RS,99.4,4.85,0.0,0.0,53.0
2016,4321006,RS,100.0,3.69,0.0,19.28,32.85
2016,2804102,SE,98.4,100.0,0.0,55.35,13.44
2016,3501152,SP,77.1,77.92,18.15,33.09,43.4
2016,3504107,SP,91.7,89.06,73.78,50.6,403.41
2016,3505906,SP,100.0,77.26,100.0,18.92,263.0
2016,3517000,SP,100.0,97.45,89.29,0.0,37.0
2016,3519071,SP,100.0,77.51,100.0,29.09,568.05
2016,3519808,SP,100.0,93.0,100.0,25.53,39.61
2016,3522802,SP,100.0,84.51,100.0,27.73,40.95
2016,3536257,SP,99.6,80.0,100.0,21.65,12.81
2016,3544707,SP,100.0,100.0,100.0,25.31,11.59
2016,3545506,SP,100.0,100.0,100.0,16.79,17.31
2016,3551603,SP,88.5,80.84,100.0,26.76,119.42
2016,3555901,SP,100.0,100.0,100.0,12.35,7.86
2016,2931301,BA,93.2,100.0,0.0,6.66,23.73
2016,2302206,CE,36.6,36.17,100.0,3.2,57.88
2016,2308500,CE,71.7,100.0,0.0,16.59,40.06
2016,2313500,CE,37.4,14.72,100.0,37.92,47.6
2016,3203353,ES,99.3,100.0,0.0,22.6,18.1
2016,3205036,ES,99.1,72.66,0.0,20.13,18.0
2016,2108108,MA,28.3,100.0,100.0,80.72,11.3
2016,3100906,MG,87.7,67.49,0.0,17.06,67.24
2016,3107901,MG,95.2,76.47,100.0,17.78,26.11
2016,3120839,MG,17.8,100.0,0.0,35.11,2.92
2016,3124708,MG,88.4,43.61,0.0,22.03,20.05
2016,3135506,MG,94.6,86.52,0.0,6.25,28.0
2016,3139102,MG,92.8,27.01,0.0,21.82,16.42
2016,3141207,MG,97.8,70.49,0.0,14.83,25.13
2016,3143401,MG,98.6,76.43,100.0,29.87,88.47
2016,3147303,MG,100.0,28.18,0.0,41.02,29.0
2016,3152006,MG,88.2,100.0,0.0,32.61,135.98
2016,3158201,MG,82.4,54.18,0.0,29.95,35.47
2016,1506807,PA,71.5,3.21,43.5,46.99,361.0
2016,2500304,PB,99.9,41.37,100.0,22.94,62.8
2016,2514008,PB,99.6,100.0,0.0,20.03,8.41
2016,2609501,PE,100.0,35.34,100.0,45.7,72.31
2016,2611002,PE,99.0,26.93,100.0,48.1,56.16
2016,2611200,PE,95.3,100.0,0.0,20.0,20.47
2016,2612554,PE,100.0,100.0,0.0,15.13,31.76
2016,4109401,PR,100.0,77.3,100.0,22.81,925.19
2016,4121802,PR,97.3,78.89,100.0,35.62,26.52
2016,4124509,PR,100.0,53.87,100.0,31.79,29.58
2016,4124806,PR,100.0,64.62,100.0,15.96,76.63
2016,4127007,PR,100.0,35.28,100.0,27.2,34.68
2016,3302106,RJ,92.2,88.67,0.0,35.22,89.64
2016,4301602,RS,100.0,52.12,30.94,41.76,476.52
2016,4310207,RS,100.0,1.12,0.0,52.68,299.02
2016,4314100,RS,100.0,17.26,100.0,45.89,798.91
2016,3501301,SP,100.0,100.0,100.0,21.01,123.76
2016,3503109,SP,83.8,100.0,100.0,41.32,20.37
2016,3508801,SP,100.0,62.61,0.0,1.86,120.0
2016,3510104,SP,100.0,99.9,100.0,15.61,27.85
2016,3510302,SP,100.0,65.37,100.0,31.35,49.65
2016,3525102,SP,100.0,80.0,0.0,0.0,198.0
2016,3535200,SP,100.0,99.97,100.0,16.49,59.46
2016,3535408,SP,99.4,49.57,100.0,39.26,96.52
2016,3541109,SP,100.0,100.0,100.0,18.26,19.21
2016,3553955,SP,100.0,99.67,100.0,14.16,65.27
2016,3554607,SP,93.1,100.0,100.0,25.14,16.53
2016,1703891,TO,100.0,57.43,100.0,37.78,15.0
2016,1721208,TO,100.0,20.74,100.0,41.32,106.0
2016,2707107,AL,98.5,71.83,0.0,82.28,52.0
2016,2914000,BA,100.0,6.89,100.0,28.11,133.85
2016,2917201,BA,100.0,90.93,0.0,29.84,26.0
2016,3203403,ES,90.0,67.56,0.0,47.49,66.2
2016,5211909,GO,100.0,71.89,100.0,38.46,541.76
2016,5217609,GO,100.0,35.43,100.0,30.68,236.65
2016,3103504,MG,100.0,80.0,3.67,30.54,482.89
2016,3103751,MG,99.3,98.59,100.0,22.66,41.0
2016,3108909,MG,100.0,100.0,0.0,27.88,84.46
2016,3112208,MG,93.2,100.0,0.0,22.81,9.45
2016,3114402,MG,93.3,73.74,35.77,15.82,74.77
2016,3131109,MG,95.7,79.22,0.0,43.26,33.02
2016,3138500,MG,100.0,100.0,0.0,27.19,26.81
2016,3144508,MG,84.8,31.44,0.0,24.42,32.37
2016,3146008,MG,99.6,79.74,0.0,32.98,163.0
2016,3162500,MG,100.0,83.1,3.97,62.33,209.95
2016,5004502,MS,99.0,7.49,100.0,32.62,73.24
2016,2500809,PB,99.8,43.42,0.0,28.33,15.41
2016,2506103,PB,100.0,100.0,0.0,36.64,7.23
2016,4105508,PR,100.0,65.64,100.0,19.73,601.76
2016,4107652,PR,100.0,52.28,100.0,29.76,541.27
2016,3305703,RJ,30.5,100.0,0.0,18.78,28.08
2016,3306305,RJ,100.0,90.46,18.67,47.8,1038.08
2016,2403509,RN,100.0,23.0,100.0,16.45,16.93
2016,4317509,RS,100.0,13.77,100.0,50.84,435.17
2016,4323804,RS,100.0,23.1,0.0,17.6,248.52
2016,4207106,SC,100.0,21.2,0.0,33.31,51.52
2016,4208203,SC,99.0,14.17,95.33,22.73,690.0
2016,4217006,SC,100.0,86.14,100.0,30.43,60.0
2016,3505005,SP,100.0,79.57,100.0,35.83,17.74
2016,3509700,SP,62.9,73.03,99.16,34.29,313.29
2016,3510500,SP,84.5,83.45,100.0,35.34,629.78
2016,3510609,SP,100.0,53.94,52.0,35.37,610.18
2016,3510807,SP,99.0,99.0,100.0,17.69,169.15
2016,3511706,SP,100.0,66.25,96.17,44.46,79.52
2016,3528106,SP,100.0,22.79,0.0,8.14,65.0
2016,3537206,SP,84.6,62.5,100.0,28.32,50.52
2016,3540309,SP,100.0,95.03,100.0,10.77,8.52
2016,3541802,SP,100.0,100.0,100.0,6.88,14.69
2016,3542008,SP,100.0,99.51,100.0,12.03,28.27
2016,3543907,SP,100.0,90.4,74.89,39.08,921.94
2016,3548401,SP,93.5,100.0,100.0,12.1,19.17
2016,1721000,TO,97.0,35.9,100.0,13.05,1748.44
